Brand,Branch,Office,Keyword,ranking_list,position
CJ Hole,Bishopston,CJ Hole - Bishopston,estate agents in Bishopston,"['Ocean Estate Agents, Bishopston', 'CJ Hole Bishopston Letting & Estate Agents', 'Andrews Bishopston', 'Winkworth Bishopston', 'Elephant Estate Agents', 'The Bristol Residential Letting Co. Bishopston', 'Kendall Harper', 'Airsat Real Estate', 'JBS Lettings Bristol', 'Elephant Estate Agents', 'Missiato Estates', 'Boardwalk Property Co. Estate Agents Bristol', 'Pentrich Properties Ltd', 'CJ Hole Henleaze Estate & Letting Agents', 'Home For You', 'Goodman & Lilley', 'CJ Hole Brislington Letting & Estate Agents', 'Maggs & Allen', 'CJ Hole Clifton Lettings & Estate Agents', 'Richard Harding', 'Pentrich Properties Ltd', 'Astleys Estate Agents Swansea', 'Sarah Kenny Residential Lettings', 'The Bristol Residential Letting Co.', 'Dawsons Estate Agents, Mumbles Sales & Lettings', 'CJ Hole Bishopsworth Letting & Estate Agents', 'Leese & Nagle Estate Agents Bristol', 'Andrews Southville', 'Astleys Estate Agents Mumbles', 'Home For You', 'Smiths Homes Swansea Estate Agent and Lettings Agent', 'Astleys Estate Agents Morriston', 'Winkworth South Kensington & Earls Court', 'John Francis Sales and Letting Agents Swansea', 'R&G Property Bristol', 'White & Jones Property Ltd', 'Bristol Property Centre', 'Hunters Estate Agents Easton', 'Peter Alan - Morriston', 'Melanie Anderson Estate Agent', 'Dawsons Estate Agents, Swansea Sales & Auction', 'Belvoir Swansea', 'Gary Hancock RE/MAX Property Hub South Wales', 'Dawsons Estate Agents, Marina (Sales, Lettings, Land & New Homes)', 'Peter Alan - Swansea Marina', 'The Bristol Residential Letting Co.', 'Andrews Southville', 'Annie Rees Independent Estate Agent', 'John Francis Sketty', 'Clee Tompkinson Francis Estate Agents & Letting Agent Pontardawe', 'Eisken Properties', 'R&G Property Bristol', 'Bristol Property Centre', 'McCartan Lettings', 'John Francis Gorseinon', 'Hunters Estate Agents Easton', 'Letting Stars', 'Simpsons', 'The Bristol Residential Letting Co. Southville', 'Metro Homes', 'Metro Homes', 'Dawsons Estate Agents, Gorseinon Sales', 'Peter Alan - Gorseinon', 'Rees Richards & Partners', 'Maggs & Allen Auctions, Commercial & Surveyors', 'Dawsons Estate Agents, Morriston Lettings', 'Agentia Estate Agent', 'Thomas Rees Estate Agent', 'HomeHunters Property Managment Ltd', 'John Francis Mumbles', 'Keys Property Agents Ltd', 'Swansea West Sales & Lettings', 'Fresh Estate & Letting Agents', 'Connells Estate Agents Filton', 'Ocean Property Lawyers, Bishopston', 'King Student Lettings', 'Gough Quarters Lettings', 'Mirador Property', 'Threshold Sales & Lettings', 'Swansea Property Buyers', 'Diamond Properties', 'Beste Estates Limited', 'Swansea Property Agents', 'Red Dragon Property', 'StudentDigz Ltd', 'Andrews Gloucester', 'Home from Home', 'Davies Homes', 'Moorfields Estate Agents', 'Next Move Properties', 'George Property & Financial', 'Rapid Lettings Swansea', 'CharEstate Swansea', 'Curshall Estates', 'Westcoast Properties Bishopston']",2
CJ Hole,Bishopsworth,CJ Hole - Bishopsworth,estate agents in Bishopsworth,"['Hunters Estate & Letting Agents Bishopsworth', 'CJ Hole Bishopsworth Letting & Estate Agents']",2
