Brand,Branch,Office,Keyword,ranking_list,position
CJ Hole,Bishopston,CJ Hole - Bishopston,estate agents in Bishopston,"['CJ Hole Bishopston Letting & Estate Agents', 'Andrews Bishopston', 'Elephant Estate Agents', 'Ocean Estate Agents, Bishopston', 'Winkworth Bishopston', 'The Bristol Residential Letting Co. Bishopston', 'Kendall Harper', 'Airsat Real Estate', 'JBS Lettings Bristol', 'Missiato Estates', 'Home For You', 'Boardwalk Property Co. Estate Agents Bristol', 'CJ Hole Henleaze Estate & Letting Agents', 'Pentrich Properties Ltd', 'Elephant Estate Agents', 'Westcoast Properties Bishopston']",1
CJ Hole,Bishopsworth,CJ Hole - Bishopsworth,estate agents in Bishopsworth,"['CJ Hole Bishopsworth Letting & Estate Agents', 'Hunters Estate & Letting Agents Bishopsworth']",1
